id,name,amount,category
b82df56d52844ac4aa8909adaeacd9e2,jean,17.0,Handball
c5e435a9504d410daef3932ca1e62e6e,amirlebg,10.0,Foot
18163c1d37024c2d97b2dcf0e97a054e,Mohamed,10.0,Football
548111b4fded475bb523c72433d442ae,Porsche,100000.0,car
ac5fdae3c0864908b45c22aad8d81a20,Mercedes,120000.0,car
6484dc31550849ec964c26de1e2811c1,Maserati,150000.0,car
5b139a91b25740f7bb55d3921d7d9e89,Samsung,1000.0,phone
18b3d604148d4c439c9e2a6c621f5fc5,Porsche,100000.0,car
6f5ec5db845c466ebc1188bc13c8c8e4,Mercedes,120000.0,car
e1a33157347e4295af016005b6702b44,Maserati,150000.0,car
5341f9c626b94849b470572e8195be5e,Samsung,1000.0,phone
c5b10787cbf648e5864baa4a4cac9789,Porsche,100000.0,car
ba4f7b23faaf4876bde8ab5263424246,Mercedes,120000.0,car
ab182c7fcfc24afea9a3d40a1a7d963f,Maserati,150000.0,car
8d442936b95c44838cc3ef292801d4ad,Samsung,1000.0,phone
8a42e303054c40c6bbb27d50792ffd9a,Porsche,100000.0,car
9af6187f93bc40b0bd4eca8b4a2cf607,Mercedes,120000.0,car
ec601e2090964027a98e3e9561e390e0,Maserati,150000.0,car
94b1cfe4d92d4f3b9157d8276d43aa08,Samsung,1000.0,phone
a80dc3359443460481294d08115db1a1,Bugatti Veyron ,1000000.0, car
49f5861eebfa4f90be7bc6b4b6f3eff7,Mohamed,15.2,IT
3e55df82fe484ea7855d6d0903433937,Mohamed,2.0,Foot
4e61a04bace443c39a7f163f268234df,Mohamed,14.65,Football
02e384301b3b44638351d40f11194adb,Paul,14.2,Badminton
